accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"15 Galway Ave, Collinswood SA 5081, Australia",ChIJN3CE56DJsGoRyinrL4PwlTA,15 Galway Av,-34.8853017,138.6151237,1,5081,OK,premise
ROOFTOP,"7 Walkerville Terrace, Gilberton SA 5081, Australia",ChIJnVeOdBfJsGoRYbwSUi3v6FM,7 Walkerville Tce,-34.9007834,138.6099481,1,5081,OK,street_address
RANGE_INTERPOLATED,"22 Birdwood Rd, Greenacres SA 5086, Australia",Ei0yMiBCaXJkd29vZCBSZCwgR3JlZW5hY3JlcyBTQSA1MDg2LCBBdXN0cmFsaWEiGhIYChQKEgmrlIe68cmwahEs-Mh_meXNUhAW,22A Birdwood Rd,-34.8689425,138.6309189,1,5086,OK,street_address
ROOFTOP,"16 Galway Ave, Collinswood SA 5081, Australia",ChIJW0IsuqDJsGoRR_VMmvl-r0k,16 Galway Av,-34.8860774,138.6145757,1,5081,OK,premise
ROOFTOP,"9 Walkerville Terrace, Gilberton SA 5081, Australia",ChIJm902cxfJsGoRpfu0OFa870c,9 Walkerville Tce,-34.900693,138.6100466,1,5081,OK,street_address
ROOFTOP,"23 Princes Rd, Greenacres SA 5086, Australia",ChIJ2xAtpfDJsGoRWqAInUssuio,23A Princes Rd,-34.8676477,138.6331112,2,5086,OK,street_address
ROOFTOP,"20 Regency Rd, Broadview SA 5083, Australia",ChIJwQCa2b_JsGoRD1178fn43ng,20 Regency Rd,-34.8718417,138.6185869,1,5083,OK,street_address
ROOFTOP,"25 Fosters Rd, Greenacres SA 5086, Australia",ChIJy7Vvg_fJsGoRNs9Jy8KqF2k,25 Fosters Rd,-34.8688393,138.6364524,1,5086,OK,street_address
ROOFTOP,"20 Muller Rd, Greenacres SA 5086, Australia",ChIJsbZ-1JTJsGoRNggvShYftsw,20A Muller Rd,-34.8716543,138.6216412,1,5086,OK,premise
ROOFTOP,"10 Walkerville Terrace, Gilberton SA 5081, Australia",ChIJcUjsCRfJsGoRbXGbqpzbsao,10 Walkerville Tce,-34.901161,138.6104478,1,5081,OK,street_address
ROOFTOP,"21 Muller Rd, Manningham SA 5086, Australia",ChIJX6qwtZTJsGoR8bqVN4hwEVc,21 Muller Rd,-34.872117,138.6227177,1,5086,OK,premise
ROOFTOP,"20 Hendrie St, Morphettville SA 5043, Australia",ChIJ936e7rzasGoRv7_CoJ5varg,20 Hendrie St,-34.9839805,138.5470781,1,5043,OK,street_address
RANGE_INTERPOLATED,"21 Hendrie St, Morphettville SA 5043, Australia",Ei8yMSBIZW5kcmllIFN0LCBNb3JwaGV0dHZpbGxlIFNBIDUwNDMsIEF1c3RyYWxpYSIaEhgKFAoSCYu2w_y82rBqEXGKwxqnm9BiEBU,21 Hendrie St,-34.9844999,138.5464629,1,5043,OK,street_address
ROOFTOP,"22 Hendrie St, Morphettville SA 5043, Australia",ChIJxwAf77zasGoRSTrqkgUz_F8,22A Hendrie St,-34.9841278,138.5470888,1,5043,OK,street_address
APPROXIMATE,Australia,ChIJ38WHZwf9KysRUhNblaFnglM,16A Ferry Av,-25.274398,133.775136,1,,OK,"country,political"
RANGE_INTERPOLATED,"25 Bells Rd, Somerton Park SA 5044, Australia",Ei0yNSBCZWxscyBSZCwgU29tZXJ0b24gUGFyayBTQSA1MDQ0LCBBdXN0cmFsaWEiGhIYChQKEglvjs6H8NqwahEgh41JVDYDExAZ,25 Bells Rd,-34.9913044,138.5291871,1,5044,OK,street_address
RANGE_INTERPOLATED,"25 Bells Rd, Somerton Park SA 5044, Australia",Ei0yNSBCZWxscyBSZCwgU29tZXJ0b24gUGFyayBTQSA1MDQ0LCBBdXN0cmFsaWEiGhIYChQKEglvjs6H8NqwahEgh41JVDYDExAZ,25C Bells Rd,-34.9913044,138.5291871,1,5044,OK,street_address
ROOFTOP,"23 Oaklands Rd, Somerton Park SA 5044, Australia",ChIJQ8dMa1basGoRMWZg5a1S_ns,23 Oaklands Rd,-34.9972382,138.524696,1,5044,OK,street_address
ROOFTOP,"22 Oaklands Rd, Somerton Park SA 5044, Australia",ChIJd3J3BlbasGoRD9540PMt-e4,22B Oaklands Rd,-34.9967077,138.5240605,1,5044,OK,street_address
ROOFTOP,"9 Anzac Hwy, Keswick SA 5035, Australia",ChIJr8g_pwvPsGoRUNuwskJhy-Y,9 Anzac Hwy,-34.943345,138.581362,1,5035,OK,street_address
ROOFTOP,"29 Morphett Rd, Camden Park SA 5038, Australia",ChIJ_aW988nasGoRpbfDIrkGSLE,29 Morphett Rd,-34.9698623,138.5376878,1,5038,OK,street_address
ROOFTOP,"5 Anzac Hwy, Keswick SA 5035, Australia",ChIJh8WKngvPsGoRYA0DcfiWIWU,5A Anzac Hwy,-34.9428061,138.5814394,1,5035,OK,street_address
ROOFTOP,"16 Ferry Ave, Plympton Park SA 5038, Australia",ChIJZZ4Oja3asGoRvJVzVzdI_Wo,16 Ferry Av,-34.9730391,138.5492667,1,5038,OK,street_address
RANGE_INTERPOLATED,"25 Bells Rd, Somerton Park SA 5044, Australia",Ei0yNSBCZWxscyBSZCwgU29tZXJ0b24gUGFyayBTQSA1MDQ0LCBBdXN0cmFsaWEiGhIYChQKEglvjs6H8NqwahEgh41JVDYDExAZ,25A Bells Rd,-34.9913044,138.5291871,1,5044,OK,street_address
ROOFTOP,"28 Diagonal Rd, Wallaroo SA 5556, Australia",ChIJU4lWsy-6umoREDxw6JkRymc,28 Diagonal Rd,-33.9367075,137.6381103,3,5556,OK,street_address
ROOFTOP,"15 South Terrace, Port Hughes SA 5558, Australia",ChIJozIk96GpumoRsCTMELvwVzQ,15 South Tce,-34.0781849,137.547933,2,5558,OK,street_address
ROOFTOP,"25-27 Fosters Rd, Greenacres SA 5086, Australia",ChIJuXlogvfJsGoRXy-3bGwOLiw,27A Fosters Rd,-34.8688393,138.6364524,1,5086,OK,street_address
